car_price_in_rupees,kms_driven,fuel_type,city,company,model,age,price_per_km,price_per_year,km_per_year
1798999.9999999998,64683,Diesel,Bangalore,Jeep,Compass Limited Plus Diesel [2018-2020],6,27.81213283037536,256999.99999999997,9240.42857142857
711000.0,69886,Petrol,Mumbai,Maruti Suzuki,Baleno Alpha 1.2,6,10.17356589923734,101571.42857142857,9983.714285714286
1149000.0,62137,Petrol,Bangalore,Hyundai,Creta SX 1.6 Petrol,6,18.491100453828576,164142.85714285713,8876.714285714286
524000.0,56800,Petrol,Delhi,Maruti Suzuki,Baleno Alpha 1.2,9,9.225189697364483,52400.0,5680.0
475000.0,42382,Petrol,Thane,Hyundai,Xcent S 1.2,10,11.207323691102564,43181.818181818184,3852.909090909091
390000.0,66794,Petrol,Kolkata,Maruti Suzuki,Wagon R 1.0 VXI,7,5.838760386256456,48750.0,8349.25
1150000.0,19600,Petrol,Ahmedabad,Honda,City V CVT Petrol [2017-2019],5,58.67047599612265,191666.66666666666,3266.6666666666665
1900000.0,85489,Diesel,Hyderabad,Mercedes-Benz,S-Class 350 CDI L,14,22.22482161656334,126666.66666666667,5699.266666666666
750000.0,19784,Petrol,Mumbai,Renault,Triber RXZ EASY-R AMT,5,37.90750568612585,125000.0,3297.3333333333335
1285000.0,19238,Petrol,Mumbai,Honda,City ZX CVT Petrol,5,66.79141327511824,214166.66666666666,3206.3333333333335
420000.0,78518,Petrol,Hyderabad,Maruti Suzuki,Swift VXi,12,5.349023803155924,32307.69230769231,6039.846153846154
855000.0000000001,54104,Petrol,Mumbai,Hyundai,Creta E Plus 1.6 Petrol,8,15.802606043803717,95000.00000000001,6011.555555555556
899000.0,55300,Diesel,Bangalore,Renault,Duster 85 PS RXS 4X2 MT Diesel,7,16.256487224462486,112375.0,6912.5
348000.0,40397,Petrol,Chennai,Renault,Kwid 1.0 RXT Opt [2016-2019],7,8.614287836031487,43500.0,5049.625
811000.0,87527,Diesel,Mumbai,Mahindra,XUV500 W8,10,9.265606434512385,73727.27272727272,7957.0
675000.0,63000,Petrol,Ahmedabad,Toyota,Glanza V,6,10.714115648957954,96428.57142857143,9000.0
567000.0,83647,Diesel,Pune,Maruti Suzuki,Swift VDi ABS [2014-2017],9,6.778404743687835,56700.0,8364.7
475000.0,57660,Diesel,Mumbai,Renault,Duster 85 PS RxL Diesel (Opt),13,8.237803714815907,33928.57142857143,4118.571428571428
685000.0,42277,Petrol,Noida,Honda,Amaze 1.2 VX MT Petrol [2018-2020],7,16.202280145702257,85625.0,5284.625
525000.0,2600,Petrol,Ahmedabad,Maruti Suzuki,S-Presso VXi Plus,3,201.84544405997693,131250.0,650.0
