car_price,kilometers_driven,fuel_type,city,Company,Model,Age
878999.9999999999,81682.0,Diesel,Bangalore,Mahindra,XUV500 W8,12
876000.0,29150.0,Petrol,Pune,Hyundai,Verna 1.6 VTVT SX,8
875000.0,29873.0,Petrol,Thane,Tata,Nexon XZA Plus Petrol,7
875000.0,21000.0,Petrol,Ahmedabad,Honda,City SV,6
875000.0,36422.0,Diesel,Mumbai,Maruti Suzuki,Vitara Brezza VDi,6
875000.0,56000.0,Petrol,Ahmedabad,Honda,City SV CVT,8
875000.0,58000.0,Diesel,Thane,Maruti Suzuki,S-Cross Alpha 1.3,7
875000.0,11800.0,Petrol,Chennai,Maruti Suzuki,Dzire ZXi Plus AMT,5
875000.0,43999.0,Petrol,Bangalore,Maruti Suzuki,Ciaz Zeta 1.4 MT,7
875000.0,31469.0,Petrol,Mumbai,Skoda,Rapid Style 1.6 MPI AT,7
875000.0,43000.0,Petrol,Hyderabad,Maruti Suzuki,Baleno Alpha 1.2,6
875000.0,24259.0,Petrol,Kolkata,Honda,City VX,6
875000.0,82000.0,Diesel,Ahmedabad,Maruti Suzuki,Vitara Brezza ZDi Plus,7
875000.0,36000.0,Petrol,Mumbai,Honda,City V,7
875000.0,75000.0,Diesel,Delhi,Hyundai,Creta 1.6 SX Plus,9
872000.0000000001,5814.0,Petrol,Kolkata,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],5
871000.0000000001,12795.0,Petrol,Chennai,Ford,EcoSport Titanium 1.5L Ti-VCT,7
869999.9999999999,27095.0,Diesel,Kolkata,Maruti Suzuki,Ciaz Alpha 1.3 Hybrid,6
868000.0,52858.0,Petrol,Delhi,Hyundai,Verna 1.6 VTVT SX,7
866000.0,31585.0,Petrol,Pune,Tata,Nexon XZA Plus Petrol,7
865000.0,77000.0,Diesel,Hyderabad,Maruti Suzuki,Vitara Brezza ZDi,8
865000.0,116000.0,Diesel,Noida,Mahindra,XUV500 W10,10
861999.9999999999,18711.0,Petrol,Delhi,Honda,City V CVT Petrol [2017-2019],8
861999.9999999999,29219.0,Petrol,Pune,Maruti Suzuki,Vitara Brezza VXi,5
861999.9999999999,75795.0,Diesel,Bangalore,Renault,Duster 85 PS Base 4X2 MT Diesel,7
859000.0,74280.0,Petrol,Pune,Ford,EcoSport Titanium 1.5L Ti-VCT,7
859000.0,72255.0,Petrol,Chennai,Maruti Suzuki,Vitara Brezza VXi,5
857000.0,7702.0,Petrol,Pune,Honda,Amaze 1.2 VX MT Petrol [2018-2020],3
857000.0,7702.0,Petrol,Pune,Honda,Amaze 1.2 VX MT Petrol [2018-2020],3
856000.0,41951.0,Petrol,Delhi,Hyundai,Creta 1.6 S Petrol,9
855000.0000000001,39000.0,Petrol,Thane,Hyundai,Creta SX Plus 1.6 Petrol,10
855000.0000000001,54104.0,Petrol,Mumbai,Hyundai,Creta E Plus 1.6 Petrol,8
852999.9999999999,84439.0,Diesel,Chennai,Honda,WR-V VX MT Diesel,7
851000.0,41236.0,Petrol,Mumbai,Hyundai,Elite i20 Asta 1.2 (O) CVT [2019-2020],6
851000.0,17500.0,Petrol,Ahmedabad,Honda,Amaze 1.2 V CVT Petrol [2018-2020],4
850000.0,29700.0,Petrol,Chennai,Tata,Nexon XZ,5
850000.0,32243.0,Petrol,Hyderabad,Hyundai,i20 Asta (O) 1.2 MT,5
850000.0,40912.0,Petrol,Ahmedabad,Volkswagen,Vento Highline Petrol,6
850000.0,10200.0,Petrol,Kolkata,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 [2018-2020],5
850000.0,21809.0,Petrol,Thane,Maruti Suzuki,Ciaz Zeta Hybrid 1.5 AT [2018-2020],6
850000.0,22601.0,Diesel,Hyderabad,Renault,Duster 85 PS RxL,7
850000.0,119500.0,Petrol,Ahmedabad,Mercedes-Benz,C-Class 200 K AT,15
850000.0,56255.0,Petrol,Ahmedabad,Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],6
850000.0,75126.0,Diesel,Hyderabad,Hyundai,Elite i20 Asta 1.4 (O) CRDi,7
849000.0,29866.0,Petrol,Bangalore,Toyota,Glanza G CVT,5
