price_per_year,price_segment,car_price_in_rupees
75666.66666666667,Low,454000.0
59000.0,Medium,590000.0
26545.454545454544,Very Low,292000.0
30714.285714285714,Low,430000.0
260714.2857142857,Very High,1825000.0
75142.85714285714,Low,526000.0
149909.09090909088,Very High,1648999.9999999998
61250.00000000001,Low,490000.00000000006
28181.81818181818,Very Low,310000.0
81875.0,Medium,655000.0
51666.66666666667,Low,465000.00000000006
78750.0,Medium,630000.0
22142.85714285714,Very Low,310000.0
62727.27272727273,Medium,690000.0
337000.00000000006,Very High,1685000.0000000002
51555.55555555555,Low,463999.99999999994
241714.28571428574,Very High,1692000.0000000002
34583.333333333336,Very Low,415000.00000000006
117785.71428571428,Very High,1648999.9999999998
26153.846153846152,Very Low,340000.0
57499.99999999999,Low,459999.99999999994
35900.0,Very Low,359000.0
85000.0,Medium,595000.0
104714.28571428571,High,733000.0
236249.99999999997,Very High,1889999.9999999998
129800.0,Medium,649000.0
86363.63636363637,High,950000.0
102499.99999999999,High,819999.9999999999
126333.33333333333,Very High,1137000.0
93750.0,High,750000.0
18583.333333333332,Very Low,223000.0
345000.0,Very High,1725000.0
99444.44444444444,High,894999.9999999999
104999.99999999999,High,944999.9999999999
24272.727272727272,Very Low,267000.0
106250.0,High,850000.0
158166.66666666666,High,949000.0
99857.14285714286,Medium,699000.0
36875.0,Very Low,295000.0
43181.818181818184,Low,475000.0
92857.14285714286,Medium,650000.0
13823.529411764706,Very Low,235000.0
23357.14285714286,Very Low,327000.0
28461.53846153846,Very Low,370000.0
113727.27272727272,Very High,1251000.0
75000.0,Low,450000.0
197000.0,High,985000.0
106250.0,High,850000.0
118666.66666666667,Medium,712000.0
92666.66666666667,Low,556000.0
145714.2857142857,Very High,1019999.9999999999
109375.0,High,875000.0
63333.333333333336,Medium,570000.0
26428.571428571428,Very Low,370000.0
40700.0,Very Low,407000.0
30000.0,Very Low,330000.0
105000.0,Very Low,420000.0
164285.7142857143,Very High,1150000.0
53500.0,Low,535000.0
64500.0,Medium,645000.0
40909.09090909091,Low,450000.0
266250.0,Very High,1065000.0
58636.36363636364,Medium,645000.0
30384.615384615383,Very Low,395000.0
29083.333333333332,Very Low,349000.0
89200.0,Low,446000.0
67750.0,Low,542000.0
85909.0909090909,High,944999.9999999999
245000.0,Very High,1225000.0
47500.0,Low,475000.0
81111.11111111111,Medium,730000.0
104428.57142857143,Medium,731000.0
137545.45454545456,Very High,1513000.0
231000.0,Very High,1155000.0
22692.30769230769,Very Low,295000.0
314800.0,Very High,1574000.0
49500.0,Low,495000.0
29800.0,Very Low,298000.0
57888.88888888889,Low,521000.0
80625.0,Medium,645000.0
78571.42857142857,Low,550000.0
48200.0,Low,482000.0
50000.0,Low,550000.0
127857.14285714284,High,894999.9999999999
54900.0,Low,549000.0
178125.0,Very High,1425000.0
31818.18181818182,Very Low,350000.0
70000.0,Low,560000.0
112375.0,High,899000.0
47692.307692307695,Medium,620000.0
125000.0,High,750000.0
59900.0,Medium,599000.0
107749.99999999999,High,861999.9999999999
111874.99999999999,High,894999.9999999999
48636.36363636364,Low,535000.0
52400.0,Low,524000.0
112500.0,High,900000.0
375000.0,Very High,1500000.0
21428.571428571428,Very Low,300000.0
61250.00000000001,Low,490000.00000000006
83125.0,Medium,665000.0
247750.0,High,991000.0
104714.28571428571,High,733000.0
152200.0,High,761000.0
77900.0,High,779000.0
278571.4285714286,Very High,1950000.0
113888.88888888889,Very High,1025000.0
31333.333333333332,Very Low,376000.0
20384.615384615383,Very Low,265000.0
108333.33333333333,High,975000.0
60000.0,High,900000.0
137400.0,Medium,687000.0
61500.0,Very Low,369000.0
32500.0,Very Low,390000.0
127142.85714285714,High,890000.0
42272.72727272728,Low,465000.00000000006
72666.66666666667,Medium,654000.0
50142.857142857145,Very Low,351000.0
37571.42857142857,Low,526000.0
47500.0,Very Low,380000.0
91100.0,High,911000.0
56818.181818181816,Medium,625000.0
395000.0,Very High,1975000.0
22500.0,Very Low,315000.0
143166.66666666666,High,859000.0
111444.44444444444,High,1002999.9999999999
74777.77777777778,Medium,673000.0
47500.0,Medium,570000.0
238000.0,Very High,1190000.0
205555.55555555556,Very High,1850000.0
109800.0,Low,549000.0
96428.57142857143,Medium,675000.0
64750.0,Low,518000.0
93750.0,High,750000.0
123125.0,High,985000.0
134428.57142857142,High,941000.0
77222.22222222222,Medium,695000.0
276600.0,Very High,1383000.0
39875.0,Very Low,319000.0
61250.00000000001,Low,490000.00000000006
143750.0,Very High,1150000.0
55000.0,Low,550000.0
79875.0,Medium,639000.0
102499.99999999999,High,819999.9999999999
38333.33333333333,Low,459999.99999999994
67857.14285714286,High,950000.0
37307.692307692305,Low,484999.99999999994
33636.36363636364,Very Low,370000.0
58333.333333333336,Low,525000.0
241714.28571428574,Very High,1692000.0000000002
107307.69230769231,Very High,1395000.0
47900.0,Low,479000.0
225000.0,Very High,1350000.0
170200.0,High,851000.0
213000.0,Very High,1491000.0
34583.333333333336,Very Low,415000.00000000006
70777.77777777778,Medium,637000.0
68142.85714285713,Low,476999.99999999994
72857.14285714286,Low,509999.99999999994
55000.0,Low,550000.0
21333.333333333332,Very Low,320000.0
65500.0,Low,524000.0
67000.0,Low,536000.0
230142.85714285713,Very High,1611000.0
424749.99999999994,Very High,1698999.9999999998
155600.0,High,778000.0
26538.46153846154,Very Low,345000.0
93125.0,High,745000.0
75000.0,Medium,675000.0
75888.88888888889,Medium,683000.0
41818.181818181816,Low,459999.99999999994
295000.0,Very High,1475000.0
125000.0,High,875000.0
40357.142857142855,Low,565000.0
19230.76923076923,Very Low,250000.0
68500.0,Medium,685000.0
94000.0,Low,564000.0
33222.22222222222,Very Low,299000.0
23461.53846153846,Very Low,305000.0
166555.55555555556,Very High,1499000.0
43444.444444444445,Very Low,391000.0
76666.66666666667,Medium,690000.0
85555.55555555556,High,770000.0
480000.0,Very High,1920000.0
105555.55555555556,High,950000.0
52272.72727272727,Medium,575000.0
48300.0,Low,483000.0
246875.0,Very High,1975000.0
109000.0,Very High,1090000.0
38900.0,Very Low,389000.0
84285.71428571429,Medium,590000.0
90571.42857142857,Medium,634000.0
37083.333333333336,Low,445000.0
106428.57142857143,High,745000.0
124500.00000000001,High,996000.0000000001
186166.66666666666,Very High,1117000.0
98333.33333333333,High,885000.0
23214.285714285714,Very Low,325000.0
45000.0,Low,450000.0
29900.0,Very Low,299000.0
466500.0,Very High,1866000.0
146666.6666666667,High,880000.0000000001
37727.272727272735,Very Low,415000.00000000006
21071.428571428572,Very Low,295000.0
47375.0,Very Low,379000.0
62500.0,Medium,625000.0
172250.0,Medium,689000.0
45555.55555555555,Very Low,409999.99999999994
69428.57142857143,Low,486000.00000000006
49500.0,Low,495000.0
160625.0,Very High,1285000.0
56250.0,Low,450000.0
33090.90909090909,Very Low,364000.0
16666.666666666668,Very Low,250000.0
65625.0,Low,525000.0
137500.0,Very High,1375000.0
51666.66666666667,Low,465000.00000000006
197500.0,Very High,1580000.0
91250.0,Medium,730000.0
35900.0,Very Low,359000.0
10294.117647058823,Very Low,175000.0
35666.666666666664,Low,428000.0
105624.99999999999,High,844999.9999999999
31727.272727272728,Very Low,349000.0
204800.0,Very High,1024000.0
95000.0,Low,475000.0
77500.0,High,775000.0
85000.0,High,765000.0
111666.66666666667,Medium,670000.0
51555.55555555555,Low,463999.99999999994
63888.88888888889,Medium,575000.0
21000.0,Very Low,315000.0
38888.88888888889,Very Low,350000.0
53000.0,Low,530000.0
68181.81818181818,High,750000.0
92166.66666666667,Low,553000.0
38750.00000000001,Low,465000.00000000006
69285.71428571428,Low,484999.99999999994
36363.63636363636,Very Low,400000.0
68181.81818181818,High,750000.0
52857.142857142855,Very Low,370000.0
95571.42857142857,Medium,669000.0
25000.0,Very Low,325000.0
99875.0,High,799000.0
34166.666666666664,Very Low,409999.99999999994
143545.45454545456,Very High,1579000.0
51363.63636363636,Low,565000.0
50909.09090909091,Low,560000.0
38076.92307692308,Low,495000.0
260000.0,Very High,1300000.0
19000.0,Very Low,285000.0
103285.71428571429,Medium,723000.0
50000.0,Low,550000.0
